,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
962157748227,2019-03-28 14:54:45,0,比尔丽鞋业-西南门,成都东站,小龙坎老火锅(双楠店),顺煌鞋业有限公司, 小龙坎老火锅(双楠店),,小龙坎老火锅(双楠店)
976199876611,2019-04-09 00:51:03,0,成都总府皇冠假日酒店(西南门),汇融·达令港(1号门),汇融·达令港(1号门),亿家天下-3号门, 大成郡西区,,汇融达令港
1001607004161,2019-04-15 23:07:22,0,金五门秘制老火锅(西门光华中心店),青羊区青年(大学生)创业园,江东半岛,金周路-地铁站,,江东半岛西南侧 ,中共大石桥社区党委
1019120984066,2019-04-11 21:49:37,0,荷塘南街34号院-东北门,香邻春天(南门),大成郡西区,成都印象独轮火锅, 大成郡西区,,成都印象独轮火锅
1019609227264,2019-04-16 12:46:27,0,芙蓉田园-东南门,清江西路-地铁站,清江西路-地铁站,文家场卫校, 清江西路-地铁站,清江西路-地铁站,
1038021959681,2019-04-10 18:43:10,0,天府软件园C区-西门,成都新天地,成都新天地,成都新天地, 成都新天地,成都新天地,
1084806201344,2019-04-15 12:43:47,0,厨当家酒楼-上车点,龙泉驿区家乐福(福泉中心店),福泉中心,福满楼(文明西街), 福满楼(文明西街),,格调城-一号门
1085322240001,2019-04-16 21:00:56,0,华兴新居(静逸路),棕南西街1号,棕南西街1号,百年商务酒店(科华店),,汉庭酒店(成都领事馆路店) ,棕南西街1号
1103890292739,2019-04-13 00:41:28,1,九峰国际,澳洲湾,澳洲湾,澳洲湾, 澳洲湾,,澳洲湾
1123440852994,2019-03-17 18:05:23,1,天府基金小镇站-公交站路北,名著司南(东门),橙天嘉禾影城(成都麓镇店),名著司南(东门),,名著司南(东门) ,名著司南(东门)
1125015822336,2019-04-11 20:22:19,0,静安路/马超东路(路口)东侧,成都米迦主题酒店,成都米迦主题酒店,成都米迦主题酒店, 成都米迦主题酒店,,成都米迦主题酒店
1191000481793,2019-03-16 22:04:34,1,人民北路/肖家村二巷(路口)东侧,新城市广场G栋,新城市广场G栋,新城市广场G栋, 新城市广场G栋,新城市广场G栋,
1198408990721,2019-04-15 12:54:34,0,兰亭半岛-西1门,邻里中心(西航港大道),邻里中心(西航港大道),双流大市场,,双流大市场 ,双流大市场
1201992966144,2019-04-16 07:45:46,0,英国风情小镇·蔷薇园-西2门,新世纪环球中心E3,环球中心-E3,青羊区第十人民医院, 青羊区第十人民医院,青羊区第十人民医院,
1247949889537,2019-04-14 06:40:11,1,红光广场路下穿隧道,恒山北街35号,恒山北街35号,恒山北街35号,,恒山北街35号 ,恒山北街35号
1249025200129,2019-03-24 20:35:56,1,银木佳苑-西南门,成都东站,成都东站,成都虫语小筑精品民宿,,成都虫语小筑精品民宿 ,成都虫语小筑精品民宿
1267409879042,2019-04-15 05:17:26,0,舞东风(0861优品尚东分店),成都市公安局交警三分局违法处理大厅,东光街3号院,东光街3号院, 东光街3号院,东光街3号院,
1273834115073,2019-04-08 15:27:04,0,都市·美丽洲-西北门,快铁都江堰站-公交站,快铁都江堰站-公交站,花仙子花艺(都江堰店), 府河星城馨苑,花仙子花艺(都江堰店),
1288678285313,2019-04-09 04:42:26,0,华宇·蓉国府(玉林一巷)东侧,成都双流国际机场T2航站楼,成都双流国际机场T2航站楼,成都双流国际机场T2航站楼,,都双流国际机场T2航站楼 ,成都双流国际机场T2航站楼
1383987024168,2019-04-16 18:23:22,0,锦泰公寓-东南门,简艺造型(九眼桥店),简艺造型(九眼桥店),简艺造型(九眼桥店), 简艺造型(九眼桥店),简艺造型(九眼桥店),
